YEAR,SITE,COUNTY,TICK_ID,GENOTYPE,HUMAN_A,HUMAN_Fa,HUMAN_Hb,REPLICATE,BB_LOAD
2007,MMWD,Marin,7M2.116,A,Y,Y,Y,1,297
2007,MMWD,Marin,7M2.116,A,Y,Y,Y,2,303
2007,MMWD,Marin,7M2.116,A,Y,Y,Y,3,251
2007,ANN,Sonoma,7ANN32.14,Db,N,N,N,1,89
2007,ANN,Sonoma,7ANN32.14,Db,N,N,N,2,91
2007,ANN,Sonoma,7ANN32.14,Db,N,N,N,3,92
2007,JLSP,Sonoma,7JLSP15.20,Db,N,N,N,1,36
2007,JLSP,Sonoma,7JLSP15.20,Db,N,N,N,2,27
2007,JLSP,Sonoma,7JLSP15.20,Db,N,N,N,3,28
2007,JLSP,Sonoma,7JLSP15.58,Fa,N,Y,Y,1,477
2007,JLSP,Sonoma,7JLSP15.58,Fa,N,Y,Y,2,456
2007,JLSP,Sonoma,7JLSP15.58,Fa,N,Y,Y,3,308
2007,JLSP,Sonoma,7JLSP16.17,Fa,N,Y,Y,1,26
2007,JLSP,Sonoma,7JLSP16.17,Fa,N,Y,Y,2,33
2007,JLSP,Sonoma,7JLSP16.17,Fa,N,Y,Y,3,47
2007,JLSP,Sonoma,7JLSP15.13,Fa,N,Y,Y,1,457
2007,JLSP,Sonoma,7JLSP15.13,Fa,N,Y,Y,2,633
2007,JLSP,Sonoma,7JLSP15.13,Fa,N,Y,Y,3,574
2007,JLSP,Sonoma,7JLSP15.25,Fa,N,Y,Y,1,576
2007,JLSP,Sonoma,7JLSP15.25,Fa,N,Y,Y,2,458
2007,JLSP,Sonoma,7JLSP15.25,Fa,N,Y,Y,3,451
2018,CCSP,Marin,18CCSP.605,Db,N,N,N,1,96
2018,CCSP,Marin,18CCSP.605,Db,N,N,N,2,95
2018,CCSP,Marin,18CCSP.605,Db,N,N,N,3,93
2018,CCSP,Marin,18CCSP.779,Db,N,N,N,1,917
2018,CCSP,Marin,18CCSP.779,Db,N,N,N,2,766
2018,CCSP,Marin,18CCSP.779,Db,N,N,N,3,717
2018,CCSP,Marin,18CCSP.823,Db,N,N,N,1,567
2018,CCSP,Marin,18CCSP.823,Db,N,N,N,2,570
2018,CCSP,Marin,18CCSP.823,Db,N,N,N,3,481
2018,CCSP,Marin,18CCSP.527,Db,N,N,N,1,1443
2018,CCSP,Marin,18CCSP.527,Db,N,N,N,2,1309
2018,CCSP,Marin,18CCSP.527,Db,N,N,N,3,1315
2018,CCSP,Marin,18CCSP.613,E3,N,N,N,1,449
2018,CCSP,Marin,18CCSP.613,E3,N,N,N,2,373
2018,CCSP,Marin,18CCSP.613,E3,N,N,N,3,424
2018,CCSP,Marin,18CCSP.723,E3,N,N,N,1,34
2018,CCSP,Marin,18CCSP.723,E3,N,N,N,2,31
2018,CCSP,Marin,18CCSP.723,E3,N,N,N,3,31
2018,CCSP,Marin,18CCSP.777,E3,N,N,N,1,463
2018,CCSP,Marin,18CCSP.777,E3,N,N,N,2,399
2018,CCSP,Marin,18CCSP.777,E3,N,N,N,3,471
2018,CCSP,Marin,18CCSP.778,E3,N,N,N,1,140
2018,CCSP,Marin,18CCSP.778,E3,N,N,N,2,132
2018,CCSP,Marin,18CCSP.778,E3,N,N,N,3,100
2018,CCSP,Marin,18CCSP.810,E3,N,N,N,1,559
2018,CCSP,Marin,18CCSP.810,E3,N,N,N,2,681
2018,CCSP,Marin,18CCSP.810,E3,N,N,N,3,524
2018,CCSP,Marin,18CCSP.795,Hb,N,N,Y,1,51
2018,CCSP,Marin,18CCSP.795,Hb,N,N,Y,2,29
2018,CCSP,Marin,18CCSP.795,Hb,N,N,Y,3,39
2018,CCSP,Marin,18CCSP.343,Hb,N,N,Y,1,69
2018,CCSP,Marin,18CCSP.343,Hb,N,N,Y,2,58
2018,CCSP,Marin,18CCSP.343,Hb,N,N,Y,3,54
2018,CCSP,Marin,18CCSP.263,Hb,N,N,Y,1,98
2018,CCSP,Marin,18CCSP.263,Hb,N,N,Y,2,77
2018,CCSP,Marin,18CCSP.263,Hb,N,N,Y,3,71
2018,WH,San Mateo,18WH.074,Hb,N,N,Y,1,2288
2018,WH,San Mateo,18WH.074,Hb,N,N,Y,2,2550
2018,WH,San Mateo,18WH.074,Hb,N,N,Y,3,2034
2019,CCSP,Marin,19CCSP.038,A,Y,Y,Y,1,17
2019,CCSP,Marin,19CCSP.038,A,Y,Y,Y,2,14
2019,CCSP,Marin,19CCSP.038,A,Y,Y,Y,3,20
2019,CCSP,Marin,19CCSP.046,A,Y,Y,Y,1,3693
2019,CCSP,Marin,19CCSP.046,A,Y,Y,Y,2,3758
2019,CCSP,Marin,19CCSP.046,A,Y,Y,Y,3,3636
2019,CCSP,Marin,19CCSP.054,A,Y,Y,Y,1,20
2019,CCSP,Marin,19CCSP.054,A,Y,Y,Y,2,19
2019,CCSP,Marin,19CCSP.054,A,Y,Y,Y,3,14
2019,CCSP,Marin,19CCSP.058,A,Y,Y,Y,1,14
2019,CCSP,Marin,19CCSP.058,A,Y,Y,Y,2,10
2019,CCSP,Marin,19CCSP.058,A,Y,Y,Y,3,10
2019,CCSP,Marin,19CCSP.029,Db,N,N,N,1,96
2019,CCSP,Marin,19CCSP.029,Db,N,N,N,2,100
2019,CCSP,Marin,19CCSP.029,Db,N,N,N,3,89
2019,CCSP,Marin,19CCSP.037,Db,N,N,N,1,986
2019,CCSP,Marin,19CCSP.037,Db,N,N,N,2,994
2019,CCSP,Marin,19CCSP.037,Db,N,N,N,3,972
2019,CCSP,Marin,19CCSP.039,Db,N,N,N,1,39
2019,CCSP,Marin,19CCSP.039,Db,N,N,N,2,40
2019,CCSP,Marin,19CCSP.039,Db,N,N,N,3,31
2019,CCSP,Marin,19CCSP.043,Db,N,N,N,1,2
2019,CCSP,Marin,19CCSP.043,Db,N,N,N,2,9
2019,CCSP,Marin,19CCSP.043,Db,N,N,N,3,6
2019,CCSP,Marin,19CCSP.048,Db,N,N,N,1,47
2019,CCSP,Marin,19CCSP.048,Db,N,N,N,2,37
2019,CCSP,Marin,19CCSP.048,Db,N,N,N,3,39
2019,CCSP,Marin,19CCSP.050,Db,N,N,N,1,29
2019,CCSP,Marin,19CCSP.050,Db,N,N,N,2,11
2019,CCSP,Marin,19CCSP.050,Db,N,N,N,3,26
2019,CCSP,Marin,19CCSP.138,Db,N,N,N,1,608
2019,CCSP,Marin,19CCSP.138,Db,N,N,N,2,195
2019,CCSP,Marin,19CCSP.138,Db,N,N,N,3,121
2019,CCSP,Marin,19CCSP.143,Db,N,N,N,1,216
2019,CCSP,Marin,19CCSP.143,Db,N,N,N,2,214
2019,CCSP,Marin,19CCSP.143,Db,N,N,N,3,325
2019,CCSP,Marin,19CCSP.018,E3,N,N,N,1,370
2019,CCSP,Marin,19CCSP.018,E3,N,N,N,2,354
2019,CCSP,Marin,19CCSP.018,E3,N,N,N,3,268
2019,CCSP,Marin,19CCSP.088,E3,N,N,N,1,21
2019,CCSP,Marin,19CCSP.088,E3,N,N,N,2,14
2019,CCSP,Marin,19CCSP.088,E3,N,N,N,3,13
2019,CCSP,Marin,19CCSP.095,E3,N,N,N,1,118
2019,CCSP,Marin,19CCSP.095,E3,N,N,N,2,111
2019,CCSP,Marin,19CCSP.095,E3,N,N,N,3,114
