YEAR,SITE,COUNTY,TICK_ID,GENOTYPE,HUMAN_INVASIVE,DDPCR1,DDPCR2,DDPCR3,AVERAGE
2007,MMWD,Marin,7M2.116,A,Y,297,303,251,284
2007,ANN,Sonoma,7ANN32.14,Db,N,89,91,92,91
2007,JLSP,Sonoma,7JLSP15.20,Db,N,36,27,28,30
2007,JLSP,Sonoma,7JLSP15.58,Fa,N,477,456,308,414
2007,JLSP,Sonoma,7JLSP16.17,Fa,N,26,33,47,35
2007,JLSP,Sonoma,7JLSP15.13,Fa,N,457,633,574,555
2007,JLSP,Sonoma,7JLSP15.25,Fa,N,576,458,451,495
2018,CCSP,Marin,18CCSP.605,Db,N,96,95,93,95
2018,CCSP,Marin,18CCSP.779,Db,N,917,766,717,800
2018,CCSP,Marin,18CCSP.823,Db,N,567,570,481,539
2018,CCSP,Marin,18CCSP.527,Db,N,1443,1309,1315,1356
2018,CCSP,Marin,18CCSP.613,E3,N,449,373,424,415
2018,CCSP,Marin,18CCSP.723,E3,N,34,31,31,32
2018,CCSP,Marin,18CCSP.777,E3,N,463,399,471,444
2018,CCSP,Marin,18CCSP.778,E3,N,140,132,100,124
2018,CCSP,Marin,18CCSP.810,E3,N,559,681,524,588
2018,CCSP,Marin,18CCSP.795,Hb,M,51,29,39,40
2018,CCSP,Marin,18CCSP.343,Hb,M,69,58,54,60
2018,CCSP,Marin,18CCSP.263,Hb,M,98,77,71,82
2018,WH,San Mateo,18WH.074,Hb,M,2288,2550,2034,2291
2019,CCSP,Marin,19CCSP.038,A,Y,17,14,20,17
2019,CCSP,Marin,19CCSP.046,A,Y,3693,3758,3636,3696
2019,CCSP,Marin,19CCSP.054,A,Y,20,19,14,18
2019,CCSP,Marin,19CCSP.058,A,Y,14,10,10,11
2019,CCSP,Marin,19CCSP.029,Db,N,96,100,89,95
2019,CCSP,Marin,19CCSP.037,Db,N,986,994,972,984
2019,CCSP,Marin,19CCSP.039,Db,N,39,40,31,37
2019,CCSP,Marin,19CCSP.043,Db,N,2,9,6,6
2019,CCSP,Marin,19CCSP.048,Db,N,47,37,39,41
2019,CCSP,Marin,19CCSP.050,Db,N,29,11,26,22
2019,CCSP,Marin,19CCSP.138,Db,N,608,195,121,308
2019,CCSP,Marin,19CCSP.143,Db,N,216,214,325,252
2019,CCSP,Marin,19CCSP.018,E3,N,370,354,268,331
2019,CCSP,Marin,19CCSP.088,E3,N,21,14,13,16
2019,CCSP,Marin,19CCSP.095,E3,N,118,111,114,114
2019,CCSP,Marin,19CCSP.097,E3,N,203,176,220,200
2019,CCSP,Marin,19CCSP.099,E3,N,516,307,328,384
2019,CCSP,Marin,19CCSP.136,E3,N,54,46,57,52
2020,CCSP,Marin,20CCSP.163,Hb,M,330,370,342,347
2020,CCSP,Marin,20CCSP.166,Hb,M,105,115,115,112
2020,CCSP,Marin,20CCSP.170,Hb,M,142,124,119,128
2020,WH,San Mateo,20WH.003,Hb,M,112,103,78,98
2020,WH,San Mateo,20WH.004,Hb,M,268,278,258,268
2020,WH,San Mateo,20WH.047,Hb,M,56,64,54,58
2020,WH,San Mateo,20WH.049,Hb,M,47,57,39,48
2021,WH,San Mateo,21WH.011,A,Y,204,209,176,196
2021,WH,San Mateo,21WH.025,A,Y,413,434,430,426
2021,SLRP,Sonoma,21SLRP.251,A,Y,890,1400,1468,1253
2021,CCSP,Marin,21CCSP.113,Db,N,84,78,75,79
2021,CCSP,Marin,21CCSP.118,E3,N,41,50,29,40
2021,WH,San Mateo,21WH.017,Hb,M,116,109,117,114
2021,WH,San Mateo,21WH.022,Hb,M,17,12,22,17
2022,WH,San Mateo,22WH.007,A,Y,6,4,4,5
2022,WH,San Mateo,22WH.072,A,Y,11,13,10,11
2022,WH,San Mateo,22WH.074,A,Y,13,8,7,9
2022,SLRP,Sonoma,22SLRP.006,A,Y,60,58,59,59
2022,CCSP,Marin,22CCSP.232,Db,N,49,46,54,50
2022,CCSP,Marin,22CCSP.002,Hb,M,0,61,47,36
2022,CCSP,Marin,22CCSP.016,Hb,M,1103,1198,895,1065
